CASE,age,Age_prolific,sex,gender,education,occupation,Nationality,race,hispanic,non_hispanic_white,even_odd,psychant,psychsyn,mahal_dist,longstring,time_per_item,included,not_serious,Language,total_approvals,AAID_01,AAID_05,AAID_07,AAID_09,AAID_12,AAID_14,PANAS_09,PANAS_14,PANAS_10,PANAS_05,PANAS_08,PANAS_06,PANAS_04,PANAS_18,PAQ_08,PAQ_20,PAQ_05,PAQ_17,PAQ_13,PAQ_07,PAQ_10,PAQ_16,PAQ_03,PAQ_15,PSS_01,PSS_02,PSS_03,PSS_08,PSS_11,PSS_12,PSS_14,NEPS_01,NEPS_05,NEPS_07,NEPS_09,NEPS_13,ULS8_01,ULS8_02,ULS8_04,ULS8_05,ULS8_07,ULS8_08,FCV19S_01,FCV19S_02,FCV19S_03,FCV19S_04,FCV19S_05,FCV19S_06,FCV19S_07,DAQ_05,DAQ_07,DAQ_09,DAQ_11,DAQ_15,DAQ_19,DAQ_21,DAQ_23,DAQ_25,DAQ_02,DAQ_06,DAQ_08,DAQ_10,DAQ_12,DAQ_14,DAQ_16,DAQ_24,CESD_01,CESD_02,CESD_03,CESD_05,CESD_06,CESD_07,CESD_09,CESD_10,CESD_11,CESD_13,CESD_14,CESD_15,CESD_17,CESD_18,CESD_19,CESD_20,HEXACO_01,HEXACO_02,HEXACO_06,HEXACO_09,HEXACO_11,HEXACO_12,HEXACO_13,HEXACO_15,HEXACO_17,HEXACO_18,HEXACO_21,HEXACO_22,HEXACO_27,HEXACO_29,OCIR_01,OCIR_02,OCIR_03,OCIR_04,OCIR_05,OCIR_06,OCIR_07,OCIR_08,OCIR_09,OCIR_10,OCIR_11,OCIR_12,OCIR_13,OCIR_14,OCIR_15,OCIR_16,OCIR_17,OCIR_18,PTQ_01,PTQ_02,PTQ_03,PTQ_04,PTQ_05,PTQ_06,PTQ_07,PTQ_08,PTQ_09,PTQ_10,PTQ_11,PTQ_12,PTQ_13,PTQ_14,PTQ_15,RAAS_01,RAAS_05,RAAS_06,RAAS_12,RAAS_14,KSA3_01,KSA3_02,KSA3_03,KSA3_04,KSA3_05,KSA3_06,KSA3_07,KSA3_08,KSA3_09,SAS_01,SAS_02,SAS_03,SAS_04,SAS_05,SAS_07,SAS_08,SAS_09,MFQ_01,MFQ_02,MFQ_03,MFQ_04,MFQ_05,MFQ_06,MFQ_07,MFQ_08,MFQ_09,MFQ_10,MFQ_11,CQ_03,CQ_04,CQ_05,CQ_09,CQ_14,CQ_15,CQ_16,OLBI_07,OLBI_10,OLBI_15,OLBI_16,UWES9_01,UWES9_02,UWES9_03,UWES9_04,UWES9_05,UWES9_06,UWES9_07,UWES9_08,UWES9_09,WGS_01,WGS_02,WGS_03,WGS_04,WGS_05,WGS_06,WGS_07,WGS_08,WGS_09,WGS_10
822,52,52,Female,Same as sex,5+ years of college,Education and childcare administrators,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.868390725633218,-0.295994136959476,0.323915299517725,207.567950350048,6,3.59090909090909,TRUE,FALSE,English,139,6,7,5,7,6,6,3,3,2,2,2,3,3,1,2,2,2,2,3,3,3,3,5,3,3,4,4,5,4,6,2,7,6,6,7,6,5,4,5,5,4,5,2,5,1,1,5,1,2,6,2,5,2,5,5,2,2,2,5,4,3,2,2,3,4,2,1,1,4,2,4,5,4,2,4,1,3,1,1,4,2,5,3,6,6,2,5,6,3,6,3,6,7,5,5,6,2,1,3,2,1,5,2,1,4,1,1,4,2,2,2,1,1,2,4,5,3,5,3,4,5,5,5,5,5,5,4,5,3,3,5,6,5,3,1,2,1,4,1,1,2,2,2,4,5,5,6,7,2,1,3,5,6,2,2,2,7,6,7,3,1,3,6,6,7,6,5,6,7,5,5,3,5,3,4,4,5,3,5,5,5,3,3,4,3,3,4,3,4,3,5,5
821,23,23,Male,Same as sex,3 years of college,"Office clerks, general",United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.83873577795725,-0.709433805558052,0.822498969620614,222.652803382882,8,6.99621212121212,TRUE,FALSE,English,1013,6,4,2,4,2,3,4,3,3,4,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,5,2,7,7,7,7,7,1,1,1,1,4,1,1,2,1,1,2,1,1,6,5,6,5,4,5,6,6,6,5,5,2,2,6,4,6,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,7,2,3,6,7,3,6,7,7,4,7,6,6,2,1,3,5,1,1,2,1,4,6,1,2,1,2,3,5,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,4,5,6,6,5,2,5,2,6,2,1,6,4,4,5,6,4,6,7,1,1,4,5,7,1,2,4,7,7,5,1,1,3,6,2,7,7,3,5,7,4,6,4,4,4,5,6,4,6,6,6,5,4,4,6,6,5,4,4,4,4,4,2
825,59,59,Female,Same as sex,5+ years of college,"Educational, guidance, and career counselors and advisors",Germany,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.682703837664831,-0.458123638710296,0.402862307748561,181.001992217082,21,5.16287878787879,TRUE,FALSE,English,677,5,5,5,5,5,5,4,4,4,3,3,3,3,4,2,2,2,2,2,3,2,2,2,5,3,3,4,2,3,4,4,6,6,7,7,6,3,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,4,2,3,4,2,3,2,2,3,2,2,3,3,5,5,5,5,3,5,5,5,6,6,6,5,1,2,5,1,1,5,2,1,3,1,1,5,3,3,5,5,1,1,5,3,3,3,2,3,5,3,5,3,3,5,3,3,2,5,3,5,5,5,2,2,2,2,2,2,2,2,2,5,5,5,5,5,3,2,5,7,6,2,5,5,6,7,5,3,5,6,5,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
826,37,37,Female,Same as sex,4 years of college,"Miscellaneous first-line supervisors, protective service workers",United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.8877562156061,-0.213095603451998,0.454695782110077,209.959388109875,4,3.86363636363636,TRUE,FALSE,English,2374,7,7,4,7,5,6,4,3,5,4,4,6,4,4,3,2,6,2,4,2,2,3,3,4,4,4,5,5,4,6,5,5,7,6,7,5,5,4,5,5,6,6,3,5,1,1,5,1,1,5,5,5,5,6,4,6,5,4,5,5,4,4,4,6,5,5,2,2,4,5,3,4,3,3,3,3,5,2,1,3,2,5,2,2,2,3,6,4,3,4,2,2,2,6,6,2,2,5,2,1,1,5,4,4,2,2,2,5,3,6,2,1,1,2,4,5,4,5,2,5,6,5,5,5,4,6,3,3,2,3,2,3,4,5,5,4,2,5,1,2,4,3,4,7,7,7,6,7,1,2,4,7,6,3,5,4,7,6,2,2,5,4,6,4,2,5,3,5,3,5,3,6,5,5,5,5,5,4,4,6,5,2,5,3,5,4,6,6,6,6,6,6
829,34,34,Female,Same as sex,5+ years of college,"Healthcare diagnosing or treating practitioners, all other",India,Other Asian or Pacific Islander,"No, not of Hispanic, Latino, or Spanish origin",0,-0.870747008223057,-0.88538990399312,0.73571055638799,212.550738548248,7,2.93560606060606,TRUE,FALSE,Hindi,393,7,6,4,7,6,6,7,7,4,7,1,1,2,1,1,1,2,3,1,2,3,4,3,1,1,2,1,1,1,7,1,4,6,4,7,6,3,2,1,2,1,3,2,1,1,1,1,1,1,5,6,6,6,6,7,2,4,4,6,5,6,6,6,2,4,4,2,1,1,2,2,1,1,3,2,4,1,2,1,2,1,2,7,6,3,7,4,7,6,6,6,7,6,6,6,3,2,3,1,3,5,2,1,1,1,1,4,2,3,3,5,3,1,1,3,4,1,3,3,3,3,3,3,3,2,4,4,1,2,5,5,4,6,5,2,4,5,5,3,4,4,4,4,5,6,6,6,6,3,1,4,7,6,4,3,7,7,7,5,4,4,4,4,1,4,3,1,2,1,7,6,7,7,7,7,7,7,6,5,7,7,3,7,7,7,7,7,7,7,7,7,7
933,21,21,Female,"Other, please specify",1 year of college,N/A: Unemployed,United States,White,"Yes, Mexican, Mexican Am., Chicano",0,-0.869828706981158,-0.600899646457301,0.361063533819555,255.421348212826,5,3.55681818181818,TRUE,FALSE,English,3147,6,5,4,6,3,4,4,5,2,6,1,1,3,2,5,1,2,1,2,1,1,2,1,1,2,3,4,2,1,6,2,4,5,6,7,6,2,1,1,1,3,2,1,5,2,1,2,1,1,1,1,1,4,4,6,4,2,2,5,6,6,5,4,4,4,4,1,1,2,3,3,2,1,1,4,1,1,1,1,4,1,2,7,7,7,5,7,7,5,6,6,7,7,5,6,7,1,6,5,1,1,1,2,2,6,2,5,1,2,5,5,1,4,1,1,2,5,3,2,3,1,6,2,1,6,2,5,4,5,1,2,4,6,4,3,2,4,5,3,2,6,3,4,5,5,7,5,7,1,2,4,7,7,4,5,5,6,7,6,4,4,5,3,2,4,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,
831,53,53,Female,Same as sex,5+ years of college,Marketing managers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.90268297946856,-0.679882447072023,0.756496624939943,201.933061292713,16,6.70454545454545,TRUE,FALSE,English,334,6,6,6,6,6,6,6,5,6,6,1,2,2,2,2,2,2,2,2,5,2,2,2,2,2,1,5,2,4,6,2,6,7,6,6,6,3,2,2,2,2,2,3,2,1,2,2,2,1,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,2,3,2,4,2,3,4,3,3,2,2,2,3,3,3,2,2,3,5,3,3,2,6,6,6,6,3,2,2,2,2,2,2,5,2,2,2,2,2,6,5,2,2,2,2,2,5,6,3,5,2,5,6,5,2,2,5,6,5,2,2,3,6,6,6,6,2,2,2,2,2,2,6,2,2,6,6,6,6,7,1,2,1,6,6,2,2,2,7,7,5,2,2,2,6,2,2,2,5,6,2,3,6,2,2,2,3,3,3,2,2,3,2,2,5,2,5,2,2,2,2,2,5,2
874,50,50,Female,Same as sex,4 years of college,Other social scientists,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.90438583585144,-0.653889933282926,0.812681244567166,194.477817988452,9,10.7083333333333,TRUE,FALSE,English,2225,5,6,5,6,5,5,1,1,1,2,7,4,7,7,3,3,3,3,3,3,3,3,3,4,7,7,7,7,7,7,7,5,6,6,6,6,4,4,3,4,4,5,2,2,2,2,2,2,2,5,6,5,5,5,6,6,5,5,4,5,5,5,5,5,5,5,4,6,3,3,5,5,5,5,4,4,5,6,3,5,3,3,6,5,3,4,5,3,3,6,3,5,5,5,6,5,1,4,1,2,2,5,1,3,1,2,2,4,5,2,2,4,2,1,6,6,5,6,5,6,6,5,5,6,6,6,6,5,6,4,4,3,5,4,3,4,4,4,2,2,3,3,4,6,5,6,5,6,4,4,5,5,5,4,3,6,6,5,4,3,3,5,5,6,6,5,6,5,5,5,4,3,3,4,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4,5
832,25,18,Female,Same as sex,2 years of college,Chief executives and legislators,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.729467692009173,-0.20861658500684,0.334020170307427,261.419019480598,4,7,TRUE,FALSE,English,271,3,6,4,3,4,5,2,2,2,2,4,5,6,5,2,6,3,4,5,4,3,3,3,5,3,4,3,4,5,5,3,3,6,4,5,4,6,5,6,5,6,5,2,2,3,2,3,2,2,4,4,5,2,4,5,6,5,3,5,6,5,6,6,4,6,6,4,7,3,2,3,5,5,5,4,4,5,5,2,6,6,5,3,4,3,4,3,3,5,3,5,3,6,4,4,3,4,5,6,5,4,5,5,5,3,5,5,6,4,5,4,6,3,3,5,3,4,3,3,5,4,4,6,3,5,5,5,3,6,7,4,4,5,2,4,3,4,3,5,6,5,6,4,6,6,7,6,4,2,1,5,3,4,5,5,5,5,6,5,5,4,4,4,3,3,5,3,5,2,5,4,3,6,3,6,5,6,4,5,5,5,2,6,5,5,5,3,4,5,2,5,3
834,36,36,Male,Same as sex,4 years of college,Computer and information systems managers,United States,Black/African American,"No, not of Hispanic, Latino, or Spanish origin",0,-0.823967193227492,-0.247075971057007,0.543389994941421,254.14996423835,6,5.8219696969697,TRUE,FALSE,English,1802,5,6,5,6,7,6,5,5,3,4,4,3,3,3,5,3,2,5,6,5,6,5,5,5,5,4,4,3,4,7,5,3,6,7,7,6,5,2,5,3,6,5,2,5,2,5,1,1,3,7,7,6,6,6,6,6,6,5,7,6,5,6,6,6,6,5,5,2,4,3,3,7,3,3,4,3,2,3,2,3,3,2,7,7,6,6,6,5,6,7,5,6,6,7,6,7,3,6,6,2,5,5,2,6,6,5,5,5,6,7,6,7,6,3,3,5,5,2,2,2,6,5,3,2,5,6,5,3,2,6,6,3,6,6,5,2,3,7,2,5,7,3,2,6,7,6,6,7,2,1,3,5,7,2,7,6,7,5,7,6,7,6,5,2,6,7,5,6,5,7,6,7,6,7,6,7,7,6,6,7,6,5,7,5,6,7,6,6,7,6,7,7
839,22,22,Female,Same as sex,4 years of college,N/A: Unemployed,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.839820429703877,-0.457286004510578,0.655572295262484,246.403312018092,9,2.79166666666667,TRUE,FALSE,English,1987,7,7,1,7,1,1,6,6,4,5,1,6,4,3,1,1,2,1,1,1,1,1,1,1,4,4,7,5,6,7,6,6,7,7,6,6,2,1,2,2,1,1,1,2,1,1,6,1,1,7,7,7,7,7,7,7,7,7,6,7,6,6,7,7,7,7,2,2,1,4,1,3,1,1,5,1,3,3,1,2,3,3,6,2,5,3,5,3,3,6,5,6,6,7,7,7,1,6,2,1,6,3,1,2,6,2,6,6,5,1,2,2,5,5,5,6,2,5,6,6,6,2,2,6,2,6,3,3,5,3,2,3,6,6,1,2,3,5,2,3,5,2,2,6,7,6,7,6,1,1,3,7,7,1,5,6,7,7,7,2,1,5,7,6,6,7,2,7,7,,,,,,,,,,,,,,,,,,,,,,,
900,60,60,Female,Same as sex,Grade 12,Childcare workers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.875210792585249,-0.469678300917923,0.473461121728261,228.413212018408,5,6.37878787878788,TRUE,FALSE,English,514,6,6,4,6,6,6,4,4,4,4,2,2,3,1,2,2,2,2,2,6,3,2,5,4,5,4,5,3,4,7,3,3,6,5,6,4,6,5,5,5,5,4,1,2,1,1,1,1,1,3,2,4,2,2,5,4,5,4,1,2,2,2,2,1,4,4,2,2,1,2,3,2,2,3,4,5,5,1,2,3,3,4,2,4,6,3,7,7,6,5,6,6,5,5,6,4,5,5,1,5,1,1,6,1,1,1,1,1,5,1,2,1,1,1,2,5,2,4,1,2,2,3,2,1,2,2,2,4,2,5,1,4,5,5,2,2,3,4,2,3,6,4,3,6,6,6,7,6,1,1,2,6,5,4,6,3,7,4,3,3,5,6,4,2,4,2,2,2,2,6,6,4,6,6,6,7,6,6,6,7,7,6,4,4,5,3,4,5,4,4,5,4
855,22,23,Female,Same as sex,4 years of college,N/A: Unemployed,United States,Other race,"Yes, another Hispanic, Latino, or Spanish origin",0,-0.913336122755119,-0.440504885780808,0.820224572772464,169.329857409669,17,3.32575757575758,TRUE,FALSE,Spanish,384,5,5,5,5,5,5,5,5,5,5,2,2,3,4,3,3,3,3,3,5,3,2,3,3,4,5,4,4,4,5,4,3,7,7,7,7,2,1,2,2,2,2,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,4,3,2,2,2,3,2,2,2,3,2,5,2,3,2,5,6,3,2,5,5,5,6,1,1,2,1,1,5,1,1,5,1,1,5,2,2,1,1,2,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,3,5,5,5,6,5,3,3,2,5,3,2,3,3,3,6,6,5,5,5,1,2,1,6,6,2,5,4,7,5,2,1,5,2,6,4,6,6,6,6,4,,,,,,,,,,,,,,,,,,,,,,,
844,46,46,Male,Same as sex,4 years of college,Computer programmers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.816372905907191,-0.553838069522753,0.840334089946,229.196891888872,17,5.05681818181818,TRUE,FALSE,English,3314,7,7,6,7,5,5,4,6,4,5,2,3,2,1,3,2,1,1,5,6,6,6,6,6,3,4,3,1,3,6,1,1,3,2,7,2,5,3,5,6,5,6,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,1,2,1,2,2,3,2,4,1,4,4,1,3,4,2,2,1,6,3,3,7,2,2,3,1,6,7,7,7,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,5,1,2,3,5,2,3,1,2,5,1,5,3,2,5,2,5,2,1,1,7,2,5,4,7,2,7,2,2,6,3,2,7,6,6,6,7,1,1,5,7,7,4,5,3,7,6,5,5,5,7,5,2,7,2,1,1,1,7,6,4,5,4,6,6,6,6,7,7,6,5,5,5,6,6,5,5,5,5,5,5
845,56,56,Female,Same as sex,4 years of college,N/A: Unemployed,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.955574878754323,-0.600481216899781,0.804104463558301,153.366856724541,5,5.26893939393939,TRUE,FALSE,English,428,6,7,4,7,4,4,4,3,4,3,1,4,3,2,2,2,1,1,1,2,1,2,2,2,3,3,3,2,3,5,4,3,6,3,7,6,1,1,2,2,2,2,3,2,2,3,2,2,5,5,6,5,5,5,6,6,6,6,5,5,5,5,6,6,6,6,2,1,2,3,3,2,2,3,3,2,2,2,1,2,2,2,5,6,4,5,5,6,5,6,6,6,5,6,6,3,1,2,3,1,1,2,3,4,2,1,1,5,5,2,3,1,1,1,2,4,2,3,2,4,5,2,2,4,2,5,2,2,2,5,5,5,6,6,1,4,2,5,3,2,6,2,2,6,6,6,6,7,1,1,1,5,5,5,5,5,6,5,5,3,4,4,5,2,4,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,
857,23,21,Male,Same as sex,5+ years of college,"Other engineering technologists and technicians, except drafters",United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.728967835360929,-0.223282733112827,0.65738706911096,209.854025644169,8,10.5606060606061,TRUE,FALSE,English,15,5,5,6,6,6,6,4,5,3,5,2,2,2,2,4,4,6,4,6,5,6,6,5,6,4,7,4,4,2,4,4,4,5,5,7,6,4,4,2,4,2,4,4,4,4,4,4,4,4,6,5,7,6,6,7,7,6,6,6,7,6,7,6,6,7,6,4,2,3,3,1,4,1,2,4,5,4,3,2,4,3,3,6,5,4,5,6,4,6,4,6,6,3,6,6,5,4,6,4,3,5,4,4,5,6,4,5,6,5,6,6,5,6,4,5,4,1,2,2,2,5,4,2,4,2,2,2,4,2,4,3,4,5,5,6,6,2,7,4,4,4,5,3,7,5,6,6,7,4,3,4,7,7,6,7,6,7,6,7,7,7,7,6,4,4,4,6,4,2,7,4,6,4,7,5,6,6,6,5,7,6,4,7,7,6,6,7,7,6,6,7,6
847,48,48,Female,Same as sex,2 years of college,Miscellaneous health technologists and technicians,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.875795065679306,-0.36359312519624,0.616395697007555,257.07244621004,8,5.22348484848485,TRUE,FALSE,English,951,5,6,4,5,4,3,2,1,2,2,4,2,6,3,1,1,1,1,5,2,4,6,6,5,5,7,7,1,6,5,7,3,5,4,5,4,6,7,7,6,2,7,1,1,1,1,1,1,1,5,5,5,5,5,6,5,5,5,5,5,4,4,5,6,5,5,2,1,4,4,6,1,6,7,4,3,6,2,6,6,7,3,4,7,3,3,3,4,3,4,4,7,6,7,5,1,1,1,1,1,1,1,2,1,3,1,1,1,3,1,1,1,1,5,5,1,5,4,1,4,4,1,1,1,5,5,1,1,1,4,1,6,4,2,2,1,4,5,2,1,5,2,4,5,3,4,6,7,1,2,5,4,4,6,7,5,6,3,5,5,4,5,5,4,4,3,5,5,3,6,6,4,5,5,5,5,5,5,5,6,5,5,7,6,5,2,5,4,7,5,5,6
853,60,60,Male,Same as sex,4 years of college,General and operations managers,Cuba,White,"Yes, Cuban",0,-0.943774996132093,-0.849275584164277,0.70020691911814,206.360468267869,8,4.8030303030303,TRUE,FALSE,Spanish,604,6,6,6,5,6,6,6,5,6,6,2,2,3,2,2,1,2,1,1,2,1,1,5,5,2,2,3,2,2,5,2,5,7,7,6,6,2,1,1,1,4,1,1,1,1,1,1,1,1,4,3,2,2,4,4,6,2,4,7,6,6,6,6,5,6,6,2,2,2,2,2,3,1,2,3,3,3,3,1,3,2,2,6,6,3,4,4,7,6,4,4,6,7,6,6,4,2,6,1,1,1,1,4,1,1,1,1,1,5,1,1,1,1,2,1,1,1,1,1,4,2,1,1,1,1,5,2,2,2,7,6,7,7,6,2,1,1,2,1,1,6,2,1,4,4,5,7,7,1,1,1,5,7,7,7,6,7,7,5,3,7,6,4,1,2,1,1,2,1,6,7,6,6,6,6,6,6,6,6,7,6,5,6,6,6,6,6,6,6,6,7,6
858,56,56,Female,Same as sex,4 years of college,Computer and information systems managers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.846181248574723,-0.565207965292367,0.628624055787384,230.12964890265,6,9.31060606060606,TRUE,FALSE,English,11,6,6,6,5,6,6,6,6,6,6,2,2,2,2,6,6,5,6,3,3,6,6,5,6,4,4,4,4,4,5,4,5,5,6,6,6,2,2,2,2,6,2,7,7,6,7,7,5,7,6,6,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6,2,2,2,2,2,6,2,2,2,4,4,2,2,2,2,2,5,5,2,5,6,5,6,5,3,5,6,7,6,6,6,5,7,5,6,7,5,5,6,6,6,6,6,6,7,7,6,5,6,6,6,2,2,7,6,2,2,3,3,7,2,2,3,6,5,6,6,6,6,5,2,7,2,3,6,5,5,6,7,6,7,7,6,2,6,6,7,6,7,6,7,6,6,2,3,6,6,5,2,2,6,5,3,6,5,6,5,6,6,6,6,6,5,7,6,5,5,7,6,7,7,7,7,6,6,6
862,47,47,Male,Same as sex,4 years of college,Software quality assurance analysts and testers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.498612772105693,-0.534944133671058,0.252788079816705,250.29844834395,6,3.8219696969697,TRUE,FALSE,English,5050,5,6,6,6,5,7,4,3,4,6,1,1,2,2,2,2,2,2,3,3,2,2,3,2,3,2,3,2,2,4,1,6,6,3,6,3,2,2,2,5,2,3,2,2,2,2,5,1,2,2,5,2,6,3,5,2,5,2,2,6,6,3,3,3,6,3,2,1,1,4,3,1,2,3,5,1,3,2,1,3,2,2,3,5,3,3,5,5,6,3,2,6,5,6,3,3,2,3,3,2,2,2,3,3,2,2,2,2,2,5,2,5,2,3,6,2,5,3,2,5,3,3,3,2,5,6,3,5,2,3,2,2,3,6,2,2,2,4,3,3,6,2,4,4,3,2,6,5,1,2,5,6,3,5,5,6,7,5,5,2,6,6,6,3,6,5,3,5,2,6,6,5,5,5,6,5,5,4,6,5,6,6,5,5,6,5,6,3,4,6,2,5
861,41,41,Male,Same as sex,5+ years of college,"Business operations specialists, all other",United States,"Two major races (e.g., White and Japanese)","No, not of Hispanic, Latino, or Spanish origin",0,-0.768591589634615,-0.284255742809874,0.554514761164711,207.976731645599,10,5.70075757575758,TRUE,FALSE,English,133,4,6,5,6,5,5,4,4,4,5,2,5,5,4,5,5,3,2,5,3,3,2,6,5,3,5,5,5,3,5,5,5,5,6,6,6,2,1,5,5,4,3,2,3,2,2,2,2,2,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,5,5,4,2,5,5,4,3,3,5,3,4,5,2,2,4,5,5,5,3,3,5,5,6,5,6,5,3,3,5,5,3,5,5,5,5,5,3,5,3,5,2,5,5,5,3,3,5,5,5,6,6,5,6,5,5,5,3,6,6,5,6,3,2,5,6,6,6,6,5,5,3,3,3,3,2,6,3,3,5,7,7,7,7,1,1,1,5,6,5,5,2,7,6,5,6,5,5,7,5,3,4,6,6,6,3,5,3,5,3,2,2,2,2,3,5,5,5,3,1,1,2,2,2,2,6,6,6
860,49,49,Male,Same as sex,5+ years of college,Computer and information systems managers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.932246573475516,-0.652641760636039,0.827618193942191,262.005477566873,11,2.77272727272727,TRUE,FALSE,English,4838,7,7,5,7,5,5,3,1,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,7,2,1,1,1,1,4,1,1,5,1,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,4,5,5,5,5,5,4,7,7,7,4,3,4,5,5,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,3,5,2,2,3,5,5,6,5,5,3,6,5,6,2,1,1,1,5,1,1,1,1,1,1,1,1,3,1,1,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,1,1,7,4,6,3,2,6,2,3,5,4,5,2,7,1,1,5,5,4,6,6,4,7,1,5,2,7,6,7,7,7,4,2,7,7,5,6,2,4,5,6,6,6,2,4,7,6,6,7,6,7,6,6,6,7,7,5,6
868,49,49,Female,Same as sex,5+ years of college,N/A: Unemployed,United States,Three or more major races,"No, not of Hispanic, Latino, or Spanish origin",0,-0.924506871701516,-0.194546774503297,0.656034002012594,207.555290823989,14,2.20454545454545,TRUE,FALSE,English,927,7,6,6,7,5,5,5,3,4,4,4,4,5,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,5,7,6,6,3,2,2,2,2,6,2,2,5,2,5,5,2,2,5,5,6,5,5,6,6,6,6,5,6,5,5,6,5,2,6,4,1,4,4,4,7,4,4,4,3,3,3,5,5,4,4,2,5,2,3,5,5,3,2,2,3,3,5,3,5,1,1,1,1,1,5,5,1,1,1,1,5,1,1,1,1,1,1,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,5,5,3,5,2,5,2,5,3,2,2,2,2,6,6,6,6,6,2,2,2,7,6,2,5,3,6,5,5,3,3,3,7,2,2,3,6,6,3,,,,,,,,,,,,,,,,,,,,,,,
863,29,29,Male,Same as sex,4 years of college,General and operations managers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.838423400540664,-0.854038720040469,0.709291861369947,204.941131204596,6,4.24242424242424,TRUE,FALSE,English,1020,7,7,7,7,7,7,5,6,5,5,2,1,2,2,4,3,1,1,6,5,1,2,3,6,2,3,3,1,2,4,2,4,7,6,6,5,1,1,2,1,2,2,1,1,1,1,2,1,1,5,4,2,3,4,5,3,2,4,2,4,2,3,4,1,3,4,2,1,1,2,1,2,1,1,2,1,2,2,1,2,2,2,6,2,3,5,5,5,4,6,2,5,3,3,5,3,1,2,5,1,1,2,2,1,2,2,2,1,1,2,1,1,1,1,4,2,1,2,1,1,1,1,2,1,1,5,1,1,2,3,3,6,6,6,2,5,3,3,5,6,5,2,2,7,6,6,6,6,1,1,1,3,7,5,5,2,7,7,6,2,3,2,3,2,2,2,3,6,3,6,4,6,6,6,6,5,6,5,3,6,6,7,6,7,6,7,6,6,6,6,6,7
865,73,73,Female,Same as sex,5+ years of college,Secondary school teachers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.919001312846352,-0.597142700521233,0.903556613286595,237.069655114861,10,8.46590909090909,TRUE,FALSE,English,928,7,7,4,7,4,4,2,3,4,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,2,6,1,6,7,4,7,6,1,1,1,1,1,2,1,1,1,1,5,1,1,6,6,6,7,6,6,6,6,7,7,7,7,7,7,7,7,7,1,4,1,3,2,1,2,1,1,1,1,1,2,3,1,4,6,7,3,4,3,7,3,5,3,2,5,6,7,4,1,5,2,1,1,1,1,1,4,1,1,1,2,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,6,7,7,7,7,1,5,1,4,3,1,2,1,1,4,4,4,4,6,1,1,5,6,6,1,7,3,7,5,5,4,4,5,6,7,4,6,4,4,6,4,4,4,4,4,2,6,7,1,6,6,6,5,6,5,6,4,4,4,4,6,6,6
